Establishment ID,Name,Address,Zip Code,Owner,License Number,License Type,Most Recent License Date,Establishment Type,Status,Restaurant Complexity Level,Review Frequency in Days,Location
5309,Louisiana Creole Gumbo,13505 W Seven Mile Ste A,48235,LCG Foods,208194,Fixed Establishment,04/24/2018,Food Service Establishment,Open,,180,"location
(42.43086, -83.17971)"
538,Louisiana Creole Gumbo,2051 Gratiot Ave,48207,Spencer Seajoseffer,081158,Fixed Establishment,04/24/2018,Food Service Establishment,Open,High,180,"location
(42.34933, -83.03469)"
51622488,Louisiana Creole Gumbo/Mobile #1,2051 Gratiot,48207,LCG Foods Inc.,229332,Mobile Food Establishment,,LHD - Mobile Food Establishmen,Open,High,395,"location
(42.34933, -83.03469)"
410,Lou's  Deli/Seven Mile,19440 W Seven Mile Rd,48219,GMSM Inc./Martin Goodman,034167,Fixed Establishment,05/03/2018,Food Service Establishment,Open,,180,"location
(42.42997, -83.23435)"
306,"Lou's Finer Deli, Inc.",8224 W McNichols Rd,48221,"Lou's Finer Deli, Inc.",033990,Fixed Establishment,04/24/2018,Food Service Establishment,Open,,180,"location
(42.41727, -83.15283)"
51622578,Lover's Only,34 W Grand River,48226,Eli Boyer,226472,Fixed Establishment,03/01/2018,Food Service Establishment,Plan Review,Medium,365,"location
(42.33405, -83.04896)"
1317,Loving Elementary,1000 Lynn Ave,48202,Detroit Board of Education,035441,Fixed Establishment,05/15/2017,Public School,Open,,210,"location
(42.39125, -83.07541)"
4914,Loyola High School Detroit,15325 Pinehurst,48238,(DPS) Archdiocese of Detroit  ,079439,Fixed Establishment,04/30/2018,Non-Public School,Open,Medium,210,"location
(42.40278, -83.16633)"
51622820,Lucky Detroit Coffee & Espresso,2000 Michigan,48216,Jami Buchanan & Chad,230549,Fixed Establishment,10/18/2018,Food Service Establishment,Open,High,180,"location
(42.33161, -83.07367)"
456,Lucky Dragon,2664 E Jefferson Ave,48207,Daniel D. Harnphanich,034243,Fixed Establishment,04/27/2018,Food Service Establishment,Open,,180,"location
(42.33843, -83.02058)"
51622865,Lucky's Noble BBQ/Fort Street Galley,160 W Fort St,48226,Brian Recor,1031NKB,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.33058, -83.04859)"
720,Lucy & Ethel's Diner,400 Bagley Ave,48226,Bagley Cafe,208214,Fixed Establishment,04/27/2018,Food Service Establishment,Open,High,180,"location
(42.33367, -83.05445)"
869,Ludington Magnet Middle School (5-8),19501 Berg Rd,48219,Detroit Board of Education,034902,Fixed Establishment,05/30/2018,Public School,Open,,210,"location
(42.43505, -83.26927)"
51622486,Lumen Detroit,1903 Grand River ,48226,Norman R. LePage,221943,Fixed Establishment,06/06/2018,Food Service Establishment,Open,High,180,"location
(42.37381, -83.03869)"
4157,Lunchtime Global,660 Woodward Ave #110,48226,RAF GLOBAL,068652,Fixed Establishment,04/30/2018,Food Service Establishment,Open,High,180,"location
(42.33102, -83.04543)"
